id,title,doi,publication_date,zenodo_url,is_correct
10925257,The ACTonHEART Study: a Randomized Controlled Clinical Trial of a short intervention based on Acceptance and Commitment Therapy vs. usual care for cardiac rehabilitation patients with coronary heart disease.,10.5281/zenodo.10925257,2023-09-08,https://zenodo.org/records/10925257,y
4993847,Data from: Charting the NF-κB pathway interactome map,10.5061/dryad.ng730,2012-10-04,https://zenodo.org/records/4993847,y
14329953,"Letter by Gasparini and Boriani Regarding Article, ""Cardiac Resynchronization Therapy in Patients With Permanent Atrial Fibrillation: Results From the Resynchronization for Ambulatory Heart Failure Trial (RAFT)""",10.1161/circheartfailure.112.972612,2013-03-19,https://zenodo.org/records/14329953,y
5463938,"Whole Genome Sequencing Prioritizes CHEK2, EWSR1, and TIAM1 as Possible Predisposition Genes for Familial Non-Medullary Thyroid Cancer",10.3389/fendo.2021.600682,2021-02-22,https://zenodo.org/records/5463938,y
4633475,Displacement time series from GNSS stations in Central Italy,10.5281/zenodo.4633475,2021-03-24,https://zenodo.org/records/4633475,y
13981406,Highly Efficient Photoanodic Material: Utilizing Dihydrolipoic Acid-Functionalized CuInS2 Quantum Dots in Photoelectrochemical Cells,10.1002/adom.202400259,2024-05-03,https://zenodo.org/records/13981406,y
5070288,"Dataset related to article ""Identification of a class of non-conventional ER-stress response-derived immunogenic peptides (ERStreP)""",10.5281/zenodo.5070288,2021-05-05,https://zenodo.org/records/5070288,y
8043082,FIGURE 4 in New insights on post-fire morels (Morchella spp.) in Italy,10.5281/zenodo.8043082,2023-06-15,https://zenodo.org/records/8043082,y
10812052,"Figure 2 from: Francesconi L, Conti M, Gheza G, Martellos S, Nimis PL, Vallese C, Nascimbene J (2024) The Dolichens database: the lichen biota of the Dolomites. MycoKeys 103: 25-35. https://doi.org/10.3897/mycokeys.103.115462",10.3897/mycokeys.103.115462.figure2,2024-03-11,https://zenodo.org/records/10812052,y
3402735,"Screen size matches of familiar images are biased by canonical size, rather than showing a memory size effect",10.5281/zenodo.3402735,2019-09-09,https://zenodo.org/records/3402735,y
8111630,Conformational flexibility and absolute stereochemistry of (3R)-3-hydroxy-4-aryl-β-lactams investigated by chiroptical properties and TD-DFT calculations,10.1002/chir.22043,2012-04-29,https://zenodo.org/records/8111630,y
4453002,Sensitivity Analysis on the Voltage Distribution within Windings of Electrical Machines fed by Wide Band Gap Converters,10.1109/ICEM49940.2020.9270958,2021-01-20,https://zenodo.org/records/4453002,y
5880496,Spaces of memory,10.3897/ijhmc.2.e78980,2022-01-12,https://zenodo.org/records/5880496,y
7788085,Deep learning can correct model errors from the subgrid-scale for sea-ice dynamics,10.5281/zenodo.7788085,2023-03-31,https://zenodo.org/records/7788085,y
4973250,Data from: Genetic structure and differentiation of the Italian Catria horse,10.5061/dryad.91qd114b,2011-10-06,https://zenodo.org/records/4973250,y
8192876,Raw data of microbiological and physicochemical characteristics of artisanal food products,10.5281/zenodo.8192876,2022-04-30,https://zenodo.org/records/8192876,y
14840330,elisamarchetto/HabitatBias: - Dimensions of habitat bias -,10.5281/zenodo.14840330,2025-02-09,https://zenodo.org/records/14840330,y
8107888,Representation of critical discourses in the humanities within Wikidata,10.5281/zenodo.8107888,2023-06-30,https://zenodo.org/records/8107888, y
14452145,Phrenic Stimulation,10.1161/circep.108.836254,2009-06-12,https://zenodo.org/records/14452145,y
10788479,cric96/ScaFi-Blocks: ScaFi-Blocks -- Release for COORDINATION 2024,10.5281/zenodo.10788479,2024-03-06,https://zenodo.org/records/10788479,y
10069086,Study on the diversity of phytoplasmas detected in European forests (PhyFor),10.5281/zenodo.10069086,2023-11-03,https://zenodo.org/records/10069086,y
14606473,Enantiopure Sulfinyl Azobenzenes as Chiroptical Switches,10.1021/ol050789o,2005-06-09,https://zenodo.org/records/14606473,y
14927541,nicolasfara/experiments-2025-pulverization-prolog-placer: 1.7.1,10.5281/zenodo.14927541,2025-02-25,https://zenodo.org/records/14927541,y
7101150,On an integrated Krylov-ADI solver for large-scale Lyapunov equations,10.1007/s11075-022-01409-5,2022-09-02,https://zenodo.org/records/7101150,y
2654005,"Notulae to the Italian flora of algae, bryophytes, fungi and lichens: 7",10.3897/italianbotanist.7.34285,2019-04-22,https://zenodo.org/records/2654005,y
8293020,Fig. 12 in Antihypertensive phytocomplexes of proven efficacy and well-established use: Mode of action and individual characterization of the active constituents,10.5281/zenodo.8293020,2020-02-29,https://zenodo.org/records/8293020,y
13759423,Environmental DNA Metabarcoding of Cephalopod Diversity in the Tyrrhenian Deep Sea,10.5281/zenodo.13759423,2025-03-30,https://zenodo.org/records/13759423,y
14317894,Lithium-Ion Battery Thermal Management Systems: A Survey and New CFD Results,10.3390/batteries7040086,2021-12-14,https://zenodo.org/records/14317894,y
8408250,PedroRASB/ISNet: ISNet,10.5281/zenodo.8408250,2023-10-04,https://zenodo.org/records/8408250,y
7583813,"Emerging topics in nanophononics and elastic, acoustic, and mechanical metamaterials: an overview",10.1515/nanoph-2022-0671,2023-01-27,https://zenodo.org/records/7583813,y
12685633,SoA of existing barriers against the measuring of H2NG mixtures or pure H2,10.5281/zenodo.12685633,2024-06-24,https://zenodo.org/records/12685633,y
14452967,Clinical Reasoning: Rapidly progressive dementia in a patient with HIV after an exotic journey,10.1212/wnl.0000000000006285,2018-10-01,https://zenodo.org/records/14452967,y
14906062,"Mother and children dietary diversity in rural Africa: results from Morocco, Tunisia, Kenya, Tanzania and Uganda",10.5281/zenodo.14906062,2025-02-21,https://zenodo.org/records/14906062,y
3609736,Nebrija e Italia. Un precedente toscano de la primera gramática romance,10.5281/zenodo.3609736,2014-12-21,https://zenodo.org/records/3609736,y
1190925,The primordial magetic field in the local Universe,10.5281/zenodo.1190925,2018-03-08,https://zenodo.org/records/1190925,y
14488477,Supplier evolution in global value chains and the new brand game from an attention‐based view,10.1002/gsj.1381,2020-05-10,https://zenodo.org/records/14488477,y
5727666,Current and future sources of open citations,10.5281/zenodo.5727666,2021-11-19,https://zenodo.org/records/5727666,y
6759303,Polifonia_Corpus_Books_Annotations_ES,10.5281/zenodo.6759303,2022-06-27,https://zenodo.org/records/6759303,y
8113053,Rotational spectroscopic study of cysteamine,10.5281/zenodo.8113053,2023-07-04,https://zenodo.org/records/8113053,y
3663537,Progetto Europeo con finanziamento di 50 milioni di euro,10.5281/zenodo.3663537,2019-09-27,https://zenodo.org/records/3663537,y
3732887,Progetto SPOT - Sismicità Potenzialmente Innescabile Offshore e Tsunami: Report integrato di fine progetto,10.5281/zenodo.3732887,2020-03-31,https://zenodo.org/records/3732887,y
6365636,"Dataset for the ``Fast atmospheric response to a cold oceanic mesoscale patch in the north-western tropical Atlantic"" publication",10.5281/zenodo.6365636,2022-03-17,https://zenodo.org/records/6365636,y
7104538,Toward an independent reconstruction of the expansion history of the Universe,10.5281/zenodo.7104538,2022-09-22,https://zenodo.org/records/7104538,y
14448778,"Practice, Description and Theory Come Together – Normalization or Interference in Italian Technical Translation?",10.7202/1006174ar,2012-04-02,https://zenodo.org/records/14448778,y
14784759,"Figure 3 from: Zanatta K, Lasen C, Scariot A, Nascimbene J (2025) Inventory of the vascular flora of the alkaline fen ""Torbiera di Lipoi"" (Veneto, northern Italy). Italian Botanist 19: 21-30. https://doi.org/10.3897/italianbotanist.19.132549",10.3897/italianbotanist.19.132549.figure3,2025-01-30,https://zenodo.org/records/14784759,y
375960,Sul comportamentismo analitico e l'evasività sistematica dell'Io,10.5281/zenodo.375960,2016-08-01,https://zenodo.org/records/375960,y
3488607,"Figure 4 from: Pupillo P, Astuti G (2017) Population structure of Erythronium dens-canis L. (Liliaceae) in the northern Apennines (Italy). Italian Botanist 4: 1-14. https://doi.org/10.3897/italianbotanist.4.12439",10.3897/italianbotanist.4.12439.figure4,2017-06-27,https://zenodo.org/records/3488607,y
3846193,"Otitoma rubiginostoma Morassi & Nappo & Bonfitto 2017, sp. nov.",10.5281/zenodo.3846193,2017-12-31,https://zenodo.org/records/3846193,y
6672165,Polifonia Corpus - Pilots Module (MusicBO) Metadata,10.5281/zenodo.6672165,2022-06-20,https://zenodo.org/records/6672165,y
14478544,Bifidobacterium callitrichidarum sp. nov. from the faeces of the emperor tamarin (Saguinus imperator),10.1099/ijsem.0.002472,2017-11-08,https://zenodo.org/records/14478544,y
8159377,TransLib: A Library to Explore Transprecision Floating-Point Arithmetic on Multi-Core IoT End-Nodes,10.23919/DATE56975.2023.10136916,2023-04-17,https://zenodo.org/records/8159377,y
14315641,Right atrial volume is a major determinant of tricuspid annulus area in functional tricuspid regurgitation: a three-dimensional echocardiographic study,10.1093/ehjci/jeaa286,2020-10-07,https://zenodo.org/records/14315641,y
14726783,metadata of microbilogical analyses for marinated meat,10.5281/zenodo.14726783,2025-01-23,https://zenodo.org/records/14726783,y
14905489,EURO-Carbon Full Dataset,10.5281/zenodo.14905489,2025-02-21,https://zenodo.org/records/14905489,y
14335685,IFNα-stimulated neutrophils and monocytes release a soluble form of TNF-related apoptosis-inducing ligand (TRAIL/Apo-2 ligand) displaying apoptotic activity on leukemic cells,10.1182/blood-2003-08-2806,2004-01-20,https://zenodo.org/records/14335685,y
14327307,Lifestyle Modification Programs in Polycystic Ovary Syndrome: Systematic Review and Meta-Analysis,10.1210/jc.2013-2385,2013-10-04,https://zenodo.org/records/14327307,y
4498247,Agoo Bahder & Bartlett 2019,10.5281/zenodo.4498247,2020-09-22,https://zenodo.org/records/4498247,y
14431217,"First enantioselective one-pot, three-component imino Reformatsky reaction",10.1351/pac200678020287,2006-03-10,https://zenodo.org/records/14431217,y
5025114,"Data and code for ""Open bibliographic data and the Italian National Scientific Qualification: measuring coverage of academic fields""""",10.5281/zenodo.5025114,2021-06-24,https://zenodo.org/records/5025114,y
4390515,DanySK/Experiment-2020-LMCS-TimeFluid: Release 0.1.0-2020-12-23T180710,10.5281/zenodo.4390515,2020-12-23,https://zenodo.org/records/4390515,y
2654087,"Figure 23 from: Albano PG, Bakker PAJ, Sabelli B (2019) Annotated catalogue of the types of Triphoridae (Mollusca, Gastropoda) in the Natural History Museum of the United Kingdom, London. Zoosystematics and Evolution 95(1): 161-308. https://doi.org/10.3897/zse.95.32803",10.3897/zse.95.32803.figure23,2019-04-30,https://zenodo.org/records/2654087,y
14492417,Dose rationale and design of a first-time-in-children protocol for the evaluation of MYCN inhibition in neuroblastoma,10.1254/jpssuppl.wcp2018.0_or35-5,2020-09-09,https://zenodo.org/records/14492417,y
14325229,HEALTH‐RELATED QUALITY OF LIFE AMONG PATIENTS WITH RELAPSED/REFRACTORY CLASSICAL HODGKIN LYMPHOMA (R/R CHL) IN A PHASE 3 STUDY OF PEMBROLIZUMAB VERSUS BRENTUXIMAB VEDOTIN,10.1002/hon.105_2880,2021-06-17,https://zenodo.org/records/14325229,y
4022155,Towards a Humanities Citation Index,10.5281/zenodo.4022155,2020-09-10,https://zenodo.org/records/4022155,y
7661050,ANALISI NUMERICA DELLA PRESTAZIONE  ENERGETICA ANNUALE DI EDIFICI IN  LEGNO IN CILE,10.5281/zenodo.7661050,2020-09-17,https://zenodo.org/records/7661050,y
14398253,Heat treatment effect on <i>Cadophora luteo‐olivacea</i> of kiwifruit,10.1111/ppa.13503,2021-10-29,https://zenodo.org/records/14398253,y
11569280,The ATLAS of Italian Digital Humanities: a knowledge graph of digital scholarly research on Italian Cultural Heritage,10.5281/zenodo.11569280,2024-06-11,https://zenodo.org/records/11569280,y
4778440,Climate Change Impact Chains across the Environment and the Economy in Coastal and Marine Destinations,10.5281/zenodo.4778440,2020-11-06,https://zenodo.org/records/4778440,y
3277277,OpenCitations - Opening citation data to the public domain,10.5281/zenodo.3277277,2019-07-09,https://zenodo.org/records/3277277,y
12162496,Proline and β-alanine influence bumblebee nectar consumption without affecting survival,10.5281/zenodo.12162496,2024-06-19,https://zenodo.org/records/12162496,y
2654085,"Figure 22 from: Albano PG, Bakker PAJ, Sabelli B (2019) Annotated catalogue of the types of Triphoridae (Mollusca, Gastropoda) in the Natural History Museum of the United Kingdom, London. Zoosystematics and Evolution 95(1): 161-308. https://doi.org/10.3897/zse.95.32803",10.3897/zse.95.32803.figure22,2019-04-30,https://zenodo.org/records/2654085,y
10998849,Reproducibility: does one definition fit all?,10.5281/zenodo.10998849,2024-04-19,https://zenodo.org/records/10998849,y
10572810,Report on AI-optimised ISA extensions,10.5281/zenodo.10572810,2024-01-26,https://zenodo.org/records/10572810,y
8315783,Laboratory and free-living gait performance in adults with COPD and healthy controls,10.1183/23120541.00159-2023,2023-08-17,https://zenodo.org/records/8315783,y
7728524,Forecasting ocean wave-induced seismic noise; supporting dataset,10.5281/zenodo.7728524,2023-03-13,https://zenodo.org/records/7728524,y
